epoch,train_loss,val_auroc,val_auprc
1,0.27184,0.5534,0.0665
2,0.18106,0.5985,0.0733
3,0.17930,0.6209,0.0774
4,0.17856,0.6288,0.0789
5,0.17817,0.6342,0.0803
6,0.17790,0.6360,0.0819
7,0.17775,0.6406,0.0828
8,0.17754,0.6427,0.0844
9,0.17738,0.6472,0.0854
10,0.17716,0.6455,0.0845
11,0.17711,0.6489,0.0858
12,0.17700,0.6521,0.0872
13,0.17689,0.6511,0.0869
14,0.17674,0.6526,0.0873
15,0.17668,0.6526,0.0886
16,0.17653,0.6569,0.0896
17,0.17642,0.6594,0.0898
18,0.17641,0.6582,0.0904
19,0.17628,0.6568,0.0902
20,0.17627,0.6579,0.0907
21,0.17613,0.6615,0.0905
22,0.17608,0.6587,0.0912
23,0.17597,0.6613,0.0910
24,0.17599,0.6609,0.0916
25,0.17587,0.6614,0.0917
26,0.17581,0.6603,0.0916
27,0.17580,0.6610,0.0920
28,0.17569,0.6614,0.0919
29,0.17568,0.6636,0.0925
30,0.17561,0.6644,0.0934
31,0.17552,0.6630,0.0932
32,0.17551,0.6635,0.0934
33,0.17548,0.6637,0.0933
34,0.17546,0.6643,0.0935
35,0.17541,0.6644,0.0933
36,0.17537,0.6648,0.0935
37,0.17534,0.6657,0.0936
38,0.17529,0.6652,0.0935
39,0.17527,0.6648,0.0935
40,0.17523,0.6654,0.0937
41,0.17523,0.6655,0.0936
42,0.17519,0.6657,0.0937
43,0.17518,0.6659,0.0937
44,0.17515,0.6656,0.0936
45,0.17515,0.6657,0.0937
46,0.17513,0.6657,0.0937
47,0.17512,0.6659,0.0937
48,0.17513,0.6658,0.0937
49,0.17509,0.6658,0.0938
50,0.17511,0.6658,0.0938
